Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7664676,"Let The Dead Lie (Detective Emmanuel Cooper, #2)",Malla Nunn,"Nunn, Malla",,"=""1416586229""","=""9781416586227""",3,3.81,Washington Square Press,Paperback,382,2010,2010,,2020/04/04,"2020, africa, authors-of-color, black-authors-read, covid-reading, crime-fiction, fiction, mystery, novel, women-authors, under-1000-reviews, african-authors-read","2020 (#44), africa (#20), authors-of-color (#52), black-authors-read (#46), covid-reading (#11), crime-fiction (#31), fiction (#325), mystery (#32), novel (#70), women-authors (#172), under-1000-reviews (#55), african-authors-read (#2)",read,,,,1,,,0,,,,,
509216,Down Second Avenue: Growing Up in a South African Ghetto,Ezekiel Mphahlele,"Mphahlele, Ezekiel",Es'kia Mphahlele,"=""084464451X""","=""9780844644516""",4,3.73,Peter Smith Publisher,Hardcover,222,1990,1959,2020/04/26,2020/03/13,"2020, africa, authors-of-color, black-authors-read, covid-reading, non-fiction, under-1000-reviews, african-authors-read","2020 (#45), africa (#21), authors-of-color (#53), black-authors-read (#47), covid-reading (#13), non-fiction (#120), under-1000-reviews (#56), african-authors-read (#1)",read,,,,1,,,0,,,,,
6051652,Salvation Army,Abdellah Taïa,"Taïa, Abdellah","Frank Stock, Edmund White","=""1584350709""","=""9781584350705""",0,3.78,Semiotext(e),Paperback,143,2009,2006,,2020/05/01,to-read,to-read (#345),to-read,,,,0,,,0,,,,,
25436976,Sterile Sky (Heinemann African Writers Series),E.E. Sule,"Sule, E.E.",,"=""""","=""""",0,3.85,Heinemann,Kindle Edition,286,2013,2012,,2020/05/01,to-read,to-read (#344),to-read,,,,0,,,0,,,,,
34449445,Tofi's Fire Dance (Real African Writers Series Book 2),James Commey,"Commey, James",,"=""""","=""""",0,5.00,,Kindle Edition,62,2014,,,2020/05/01,to-read,to-read (#343),to-read,,,,0,,,0,,,,,
20120292,The Poetry of African Queens and Kings ( Vol One) (Real African Writers Series),Pusch Commey,"Commey, Pusch",,"=""""","=""""",0,0.0,BookBaby,Kindle Edition,,2012,2012,,2020/05/01,to-read,to-read (#342),to-read,,,,0,,,0,,,,,
26178125,Jungles Of Africa: African Folklore (Mowana Writers Series Book 1),Modisana Mosweu,"Mosweu, Modisana",,"=""""","=""""",0,5.00,Modisana Mosweu,Kindle Edition,7,2015,2015,,2020/05/01,to-read,to-read (#341),to-read,,,,0,,,0,,,,,
8310849,Lokotown and Other Stories (African Writers Series),Cyprian Ekwensi,"Ekwensi, Cyprian",,"=""0435900196""","=""9780435900199""",0,3.89,Heinemann International Literature & Textbooks,Paperback,160,1966,1966,,2020/05/01,to-read,to-read (#340),to-read,,,,0,,,0,,,,,
5857753,"Not Yet Uhuru, The Autobiography Of Oginga Odinga (African Writer Series)",Ajuma Oginga Odinga,"Odinga, Ajuma Oginga",,"=""9966460055""","=""9789966460059""",0,3.56,,,,,1967,,2020/05/01,to-read,to-read (#339),to-read,,,,0,,,0,,,,,
19702071,Between Sindi and the Sea (Real African Writers Series),Pusch Komiete Commey,"Commey, Pusch Komiete",,"=""""","=""""",0,0.0,BookBaby,Kindle Edition,61,2012,2012,,2020/05/01,to-read,to-read (#338),to-read,,,,0,,,0,,,,,
