"author","auth_POB1","auth_POB2","personal.x","family.x","personal.y","family.y"
"Suzanne Collins","unknown","","Suzanne","Collins","Suzanne","Collins"
"Sydney Owenson Morgan","unknown","","Sydney","Owenson Morgan",NA,NA
"Sydney Padua",NA,NA,NA,NA,"Sydney","Padua"
"Sydney Stahl Weinberg","unknown","","Sydney","Stahl Weinberg","Sydney","Stahl Weinberg"
"Sylvia Plath","unknown","","Sylvia","Plath","Sylvia","Plath"
"T. Christian Miller","unknown","","T.","Christian Miller","T.","Christian Miller"
"Taiye Selasi",NA,NA,NA,NA,"Taiye","Selasi"
"Tamar El-Or","unknown","","Tamar","El-Or","Tamar","El-Or"
"Tamora Pierce","unknown","","Tamora","Pierce","Tamora","Pierce"
"Tananarive Due","unknown","","Tananarive","Due","Tananarive","Due"
"Tanya Tagaq","unknown","","Tanya","Tagaq",NA,NA
"Tayari Jones","unknown","","Tayari","Jones",NA,NA
"Téa Mutonji",NA,NA,NA,NA,"Téa","Mutonji"
"Ted Anderson","unknown","","Ted","Anderson","Ted","Anderson"
"Tendai Huchu",NA,NA,NA,NA,"Tendai","Huchu"
"Terese Marie Mailhot","unknown","","Terese","Marie Mailhot",NA,NA
"Terry Pratchett","unknown","","Terry","Pratchett","Terry","Pratchett"
"Thabile Makue",NA,NA,NA,NA,"Thabile","Makue"
"Theodora Kroeber","unknown","","Theodora","Kroeber","Theodora","Kroeber"
"Therese Huston","unknown","","Therese","Huston","Therese","Huston"
"Thomas King","unknown","","Thomas","King","Thomas","King"
"Thomas Kohnstamm","unknown","","Thomas","Kohnstamm","Thomas","Kohnstamm"
"Thomas Love Peacock","unknown","","Thomas","Love Peacock",NA,NA
"Thomas M. Disch","unknown","","Thomas","M. Disch","Thomas","M. Disch"
"Thomas Mofolo",NA,NA,NA,NA,"Thomas","Mofolo"
"Thomas Olde Heuvelt","unknown","","Thomas","Olde Heuvelt","Thomas","Olde Heuvelt"
"Thomas Paine","unknown","","Thomas","Paine","Thomas","Paine"
"Tim DeRoche","unknown","","Tim","DeRoche","Tim","DeRoche"
"Tim Marshall",NA,NA,NA,NA,"Tim","Marshall"
"Tim O'Brien","unknown","","Tim","O'Brien","Tim","O'Brien"
"Timothy Egan","unknown","","Timothy","Egan","Timothy","Egan"
"Tomi Adeyemi","unknown","","Tomi","Adeyemi","Tomi","Adeyemi"
"Tommy Orange","unknown","","Tommy","Orange",NA,NA
"Toni Cade Bambara",NA,NA,NA,NA,"Toni","Cade Bambara"
"Toni Morrison","unknown","","Toni","Morrison","Toni","Morrison"
"Tracy L. Barr","unknown","","Tracy","L. Barr","Tracy","L. Barr"
"Trisha R. Thomas","unknown","","Trisha","R. Thomas",NA,NA
"Tsitsi Dangarembga",NA,NA,NA,NA,"Tsitsi","Dangarembga"
"Tucker Lieberman","unknown","","Tucker","Lieberman",NA,NA
"Unity Dow",NA,NA,NA,NA,"Unity","Dow"
"Unknown","unknown","","Unknown","","Unknown",""
"Ursula Dubosarsky","unknown","","Ursula","Dubosarsky","Ursula","Dubosarsky"
"Ursula K. Le Guin","unknown","","Ursula","K. Le Guin","Ursula","K. Le Guin"
"Uwem Akpan",NA,NA,NA,NA,"Uwem","Akpan"
"Uzma Jalaluddin","unknown","","Uzma","Jalaluddin","Uzma","Jalaluddin"
"Uzodinma Iweala",NA,NA,NA,NA,"Uzodinma","Iweala"
"Valerie Tripp",NA,NA,NA,NA,"Valerie","Tripp"
"Vernā Myers","unknown","","Vernā","Myers","Vernā","Myers"
"Vernor Vinge","unknown","","Vernor","Vinge","Vernor","Vinge"
"Victor Hugo","unknown","","Victor","Hugo",NA,NA
"Victor LaValle","unknown","","Victor","LaValle","Victor","LaValle"
"Vine Deloria Jr.","unknown","","Vine","Deloria Jr.","Vine","Deloria Jr."
"Virginia Woolf","unknown","","Virginia","Woolf","Virginia","Woolf"
"Wade Miller","unknown","","Wade","Miller",NA,NA
"Walter Echo-Hawk","unknown","","Walter","Echo-Hawk","Walter","Echo-Hawk"
"Walter M. Miller Jr.","unknown","","Walter","M. Miller Jr.","Walter","M. Miller Jr."
"Walter Scott","unknown","","Walter","Scott",NA,NA
"Wangari Maathai",NA,NA,NA,NA,"Wangari","Maathai"
"Waris Dirie",NA,NA,NA,NA,"Waris","Dirie"
"Warsan Shire","Kenya","","Warsan","Shire","Warsan","Shire"
"Wayne Grady","unknown","","Wayne","Grady","Wayne","Grady"
"Wil Huygen",NA,NA,NA,NA,"Wil","Huygen"
"Wilkie Collins","unknown","","Wilkie","Collins","Wilkie","Collins"
"Will Gompertz","unknown","","Will","Gompertz","Will","Gompertz"
"William Gibson",NA,NA,NA,NA,"William","Gibson"
"William Least Heat-Moon","unknown","","William","Least Heat-Moon",NA,NA
"William Shakespeare","unknown","","William","Shakespeare","William","Shakespeare"
"Wole Soyinka",NA,NA,NA,NA,"Wole","Soyinka"
"Xavier Aldana  Reyes","unknown","","Xavier","Aldana  Reyes","Xavier","Aldana  Reyes"
"Yaa Gyasi","unknown","","Yaa","Gyasi","Yaa","Gyasi"
"Yewande Omotoso","unknown","","Yewande","Omotoso",NA,NA
"Yonatan Kolatch","unknown","","Yonatan","Kolatch","Yonatan","Kolatch"
"Yvonne Vera",NA,NA,NA,NA,"Yvonne","Vera"
"Zadie Smith","unknown","","Zadie","Smith",NA,NA
"Zakes Mda",NA,NA,NA,NA,"Zakes","Mda"
"Zoë Wicomb","unknown","","Zoë","Wicomb","Zoë","Wicomb"
"Zora Neale Hurston","unknown","","Zora","Neale Hurston","Zora","Neale Hurston"
"Zukiswa Wanner",NA,NA,NA,NA,"Zukiswa","Wanner"
